Text,Label
ခလရ၁,ခလရ၁
ခမရ၁,ခမရ၁
အထက၁,အထက၁
မြို့မရဲစခန်း,မြို့မရဲစခန်း
ရွှေဘို,ရွှေဘို
အနီးစခန်း,အနီးစခန်း
ရတနာပုံနည်းပညာတက္ကသိုလ်,ရတနာပုံနည်းပညာတက္ကသိုလ်
နှစ်ဆယ့်တစ်မိုင်,နှစ်ဆယ့်တစ်မိုင်
မန္တလေးနန်းတော်,မန္တလေးနန်းတော်
မန္တလေး,မန္တလေး
ပြင်ဦးလွင်နာရီစင်,ပြင်ဦးလွင်နာရီစင်
ပြင်ဦးလွင်မြို့,ပြင်ဦးလွင်မြို့
ရန်သူအခြေပြုနေရာ,ရန်သူအခြေပြုနေရာ
ခမရ၁,ခမရ၁
ဒတရ၁,ဒတရ၁
အဆင့်မြင့်စာပေပညာဗဟိုဌာန,အဆင့်မြင့်စာပေပညာဗဟိုဌာန
ရန်ကုန်,ရန်ကုန်
ခလရ၂,ခလရ၂
ပြည်,ပြည်
တောင်ကြီးမြို့,တောင်ကြီးမြို့
ရွှေညောင်,ရွှေညောင်
မကွေး,မကွေး
စစ်တက္ကသိုလ်,စစ်တက္ကသိုလ်
မိတ္ထီလာ,မိတ္ထီလာ
