Subject,Noun,Object,Verb
ငါ့ကို,ကြေးနန်း,-,ရေးပေးပါ
ငါ့ကို,ကြေးနန်း,-,ရေးပေး
ငါ့ကို,ကျေးနန်း,-,ရေးပေးပါ
ငါ့ကို,ကျေးနန်း,-,ရေးပေး
ငါ့ကို,ကျေနပ်,-,ရေးပေးပါ
ငါ့ကို,ကျေနပ်,-,ရေးပေး
ငါိ့ကို,တပ်ရင်းမှူးနာမည်,-,ပြောပြပေးပါ
-,တပ်ရင်းမှူးနာမည်တွေ,-,သိချင်တယ်
-,တပ်ရင်းမှူးနာမည်,-,ပြောပြ
-,တပ်ရင်းမှူးနာမည်,-,ပြော
-,တပ်ရင်းမှူး,-,ပြောပြ
-,တပ်ရင်းမှူး,-,ပြော
-,ကြေးနန်း,-,ရေးပေးပါ
-,ကြေးနန်း,-,ရေးပေး
-,ကြေးနန်း,-,ရေး
-,ကျေနပ်,-,ရေးပေး
-,ကျေနပ်,-,ရေး
-,ကျေနပ်,-,ရေးပေးပါ
ငါိ့ကို,မြေပုံ,-,ပြပါ
ငါိ့ကို,မြေပုံ,-,ပြ
ငါိ့ကို,မြေပုံ,-,ပြပေးပါဦး
ငါိ့ကို,မြေပုံ,-,ပြပေးပါ
ငါိ့ကို,မြေပုံကို,-,ပြပေးပါဦး
ငါိ့ကို,မြေပုံ,-,ပြပါ
ငါ့ကို,မြေပုံ,-,ပြပေး
-,မြေပုံကို,-,ပြပါ
-,မြေပုံကို,-,သွား
-,မြေပုံကို,-,သွားပါ
-,မြေပုံကို,-,သွားပေး
-,မြေပုံ,-,သွားပေး
-,မြေပုံ,-,သွားပေးပါ
-,မြေပုံကို,-,သွားပေးပါ
-,မြေပုံ,-,ပြပေးပါဦး
-,မြေပုံကို,-,ပြပေးပါ
-,မြေပုံကို,-,ပြပေးပါဦး
-,မြေပုံ,-,ပြပါ
-,မြေပုံ,-,ပြပေး
-,မြေပုံကို,-,ပြပေး
-,မြေပုံ,-,ပြ
-,မြေပုံကို,-,ပြ
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြပါ
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြ
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြပေးပါဦး
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြပေးပါ
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံကို,-,ပြပေးပါဦး
ငါိ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြပါ
ငါ့ကို,စစ်ဆင်ရေးမြေပုံ,-,ပြပေး
